Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
E09,,,,,2,27.6777534484863,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,553.555053710938,,,30.475076675415,24.8870697021484,16214,377,15837,5,185,372,15652,0.043762401436272,,,,,,,,,,,,,,,,,,,,,,,,8968.98007760693,2844.45667073521,2986.86109434386,,,,,29.1041278839111,26.2531089782715,,,,,,,,,,,,,No
E10,,,,,1,11.0063724517822,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,220.12744140625,,,12.7632341384888,9.25212955474854,16216,151,16065,1,150,345,15720,0,0.86753249168396,,,1.03337565938903,0.70168930847714,2,,,,,,,2,0.433766241966542,,,0.516687829694515,0.35084465423857,30.2536235873145,,,34.2873915064699,26.2198556681591,16468.5888154491,1750.60153276697,1887.6523516918,,,,,11.9024019241333,10.1110239028931,,,0.952146267349174,0.782918700516995,,,0.476073133674587,0.391459350258497,,,32.3116664589843,28.1955807156447,No
E10,,,,,2,25.3739719390869,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,507.479431152344,,,28.0507259368896,22.7032909393311,16216,346,15870,1,150,345,15720,0,,,,,,,,,,,,,,,,,,,,,,,,8967.4690322435,2836.50112524676,2967.31728803788,,,,,26.7389011383057,24.0106201171875,,,,,,,,,,,,,No
E11,,,,,1,16.4909687042236,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,329.819366455078,,,18.5535869598389,14.431960105896,17673,246,17427,6,240,510,16917,0,0.946100056171417,,,1.08977680684421,0.802423365042341,2,,,,,,,2,0.473050042971637,,,0.544888403422103,0.40121168252117,32.1136437440602,,,35.4243557960043,28.8029316921161,16252.2955530678,1733.00067024146,1935.10255114313,,,,,17.5428733825684,15.4400033950806,,,1.01940445544347,0.872795716443076,,,0.509702227721736,0.436397858221538,,,33.8027807040539,30.4245067840665,No
E11,,,,,2,34.8609390258789,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,697.21875,,,37.8728485107422,31.8567180633545,17673,516,17157,6,240,510,16917,0,,,,,,,,,,,,,,,,,,,,,,,,8833.28278013717,2802.92448780415,2978.99334305475,,,,,36.3966636657715,33.3272171020508,,,,,,,,,,,,,No
E12,,,,,1,52.1223030090332,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1042.44604492188,,,56.1272583007813,48.1309394836426,15068,653,14415,30,623,575,13840,0.321464501343787,2.16224312782288,,,2.40140991950775,1.92307618662511,2,,,,,,,2,1.08112152653322,,,1.20070495975388,0.961538093312554,51.9489858112311,,,54.7100476584936,49.1879239639685,16202.9465821808,1790.98000064867,2415.5495638117,,,,,54.1639442443848,50.0842018127441,,,2.28426664755486,2.040219458578,,,1.14213332377743,1.020109729289,,,53.3576871761859,50.5402844462763,No
E12,,,,,2,48.2113265991211,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,964.2265625,,,52.0596160888672,44.3755798339844,15068,605,14463,30,623,575,13840,0.321464501343787,,,,,,,,,,,,,,,,,,,,,,,,8926.10594896048,2786.8958439342,3033.3931968371,,,,,50.1731643676758,46.2527465820313,,,,,,,,,,,,,No
F01,,,,,1,41.3779296875,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,827.55859375,,,45.356372833252,37.4128913879395,12066,417,11649,24,393,677,10972,0,1.17525172233582,,,1.31772094461181,1.03278242003708,2,,,,,,,2,0.587625841162222,,,0.658860472305907,0.516391210018538,37.0128670072572,,,39.839014748876,34.1867192656385,17208.1996941509,1960.50301205798,2487.46219624766,,,,,43.4060668945313,39.3532829284668,,,1.24793978717921,1.10256357746967,,,0.623969893589607,0.551281788734837,,,38.4547732828965,35.5709607316179,No
F01,,,,,2,70.4154357910156,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,1408.30871582031,,,75.6405258178711,65.2134475708008,12066,701,11365,24,393,677,10972,0,,,,,,,,,,,,,,,,,,,,,,,,9326.61715963802,2970.42045327022,3339.69725512368,,,,,73.0783996582031,67.7584915161133,,,,,,,,,,,,,No
F02,,,,,1,78.9797821044922,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1579.595703125,,,84.8675003051758,73.1213760375977,10704,695,10009,54,641,630,9379,1.20337295860233,2.03326773643494,,,2.24794996983511,1.81858548685936,2,,9137.4736328125,,,6.81685778119365,53.9496094109179,2,1.01663386417362,,,1.12397498491756,0.909292743429681,50.412416563788,,,53.0518578999611,47.7729752276148,16585.4619772932,1940.90574330271,2891.76211312926,,,,,81.9800415039063,75.9871597290039,,,2.14279879859787,1.9237366580966,,,1.07139939929894,0.961868329048301,,,51.7590618773974,49.0657712501785,No
F02,,,,,2,77.6875381469727,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,1553.75073242188,,,83.5251541137695,71.8787460327148,10704,684,10020,54,641,630,9379,1.20337295860233,,,,,,,,6239.349609375,,,9.44716215516704,20.4301528318751,,,,,,,,,,,,9325.47146981223,2901.87395852826,3312.3504811103,,,,,80.6622924804688,74.7202835083008,,,,,,,,,,,,,No
F03,,,,,1,24.1975040435791,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,483.950073242188,,,26.9527778625488,21.4486694335938,14589,297,14292,8,289,301,13991,0.143751484309008,1.92152571678162,,,2.22757396736991,1.61547735175283,2,,,,,,,2,0.960762829780687,,,1.11378698368496,0.807738675876417,48.999441196473,,,52.9796866606465,45.0191957322994,16574.9511554346,1802.2431889002,2102.98307964396,,,,,25.6024494171143,22.7942352294922,,,2.0776725080074,1.76537881111535,,,1.0388362540037,0.882689405557675,,,51.0301754610162,46.9687069319297,No
F03,,,,,2,25.1857204437256,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,503.714416503906,,,27.9973526000977,22.3807926177979,14589,309,14280,8,289,301,13991,0.143751484309008,,,,,,,,,,,,,,,,,,,,,,,,8973.80290187601,2848.44575319263,2978.18290851124,,,,,26.6193885803223,23.7538013458252,,,,,,,,,,,,,No
F04,,,,,1,12.8993825912476,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,257.987640380859,,,14.8066997528076,10.995153427124,16140,176,15964,5,171,340,15624,0.0932176146696038,1.01488959789276,,,1.19915020030181,0.830628884243562,2,,2295.15161132813,,,,,2,0.507444771136343,,,0.599575100150905,0.415314442121781,33.6625779499584,,,37.7169145574887,29.6082413424281,16275.07001426,1817.99217722297,1975.64060964667,,,,,13.8721179962158,11.9274520874023,,,1.10890000061563,0.920879083929743,,,0.554450000307815,0.460439541964871,,,35.7311152428744,31.5940406570423,No
F04,,,,,2,25.4202690124512,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,508.405395507813,,,28.1058025360107,22.7408504486084,16140,345,15795,5,171,340,15624,0.0932176146696038,,,,,,,,4084.390625,,,,,,,,,,,,,,,,9048.55033259737,2886.75888597682,3018.47004143432,,,,,26.7896728515625,24.0524578094482,,,,,,,,,,,,,No
